Название проекта,Руководитель,Статус,Дата начала,Дата окончания,Бюджет (₽),Приоритет
"Разработка квантового компьютера","Иванов И.В.","В разработке","2024-01-15","2025-12-31","150000000","Высокий"
"Нейросетевая система безопасности","Петрова А.С.","Планирование","2024-03-01","2024-12-31","25000000","Средний"
"Умный город Сургут","Смирнов Д.А.","Активный","2023-09-15","2024-09-15","75000000","Высокий"
"Биотехнологическая лаборатория","Козлова М.И.","Завершен","2023-01-10","2024-02-28","45000000","Средний"
"Центр обработки данных","Морозов К.П.","В разработке","2024-02-01","2025-01-31","120000000","Высокий"
"Инновационный хаб","Соколова Е.В.","Планирование","2024-04-01","2025-03-31","80000000","Средний"
"Экологический мониторинг","Волков С.М.","Активный","2023-11-20","2024-11-20","35000000","Высокий"
"Образовательная платформа","Павлова О.Д.","В разработке","2024-01-20","2024-08-31","28000000","Средний"
"Робототехнический комплекс","Николаев А.А.","Планирование","2024-05-01","2025-04-30","95000000","Высокий"
"Энергоэффективные технологии","Федорова И.С.","Активный","2023-10-01","2024-09-30","65000000","Средний"
"VR-лаборатория","Григорьев П.В.","Завершен","2023-03-15","2024-03-15","42000000","Средний"
"Медицинские инновации","Кузнецова Л.М.","В разработке","2024-02-15","2025-02-14","110000000","Высокий"
"Транспортная система","Михайлов Д.С.","Планирование","2024-06-01","2025-05-31","85000000","Средний"
"Агротехнологии","Новикова А.В.","Активный","2023-12-01","2024-11-30","55000000","Высокий"
"Цифровой двойник города","Романов И.И.","В разработке","2024-03-15","2025-03-14","130000000","Высокий"
