Название компании,Направление деятельности,Руководитель,Дата регистрации,Количество сотрудников,Площадь (м²),Статус
"КвантТех-Сургут","Квантовые технологии","Александров С.П.","2023-06-15","45","350","Действующий"
"НейроМед","Искусственный интеллект в медицине","Васильева М.А.","2023-08-01","28","220","Действующий"
"ЭкоИнновации","Экологический мониторинг","Дмитриев К.С.","2023-09-20","15","180","Действующий"
"СмартЭнерго","Энергоэффективные технологии","Захарова Е.В.","2023-07-10","32","280","Действующий"
"БиоТехСиб","Биотехнологии","Игнатьев П.М.","2023-10-05","23","260","Действующий"
"РобоСистемы","Робототехника","Климова О.Д.","2024-01-15","18","200","Новый резидент"
"АгроТех","Умное сельское хозяйство","Лебедев Н.А.","2023-11-12","25","320","Действующий"
"ИТ-Инновации","Программное обеспечение","Макарова И.С.","2023-12-01","40","300","Действующий"
"НаноМатериалы","Новые материалы","Никитин Р.В.","2024-02-01","12","150","Новый резидент"
"АрктикЛаб","Арктические технологии","Орлова А.М.","2023-08-25","30","280","Действующий"
"ЦифраПром","Цифровизация производства","Павлов Д.И.","2023-10-15","35","260","Действующий"
"МедТехСервис","Медицинское оборудование","Романова К.А.","2024-01-20","20","220","Новый резидент"
"УмныйГород","Городская инфраструктура","Степанов М.В.","2023-07-30","42","380","Действующий"
"ТехноСкан","3D-сканирование и печать","Тимофеева Л.П.","2023-09-10","16","190","Действующий"
"ВиарТех","Виртуальная реальность","Ульянов Г.С.","2023-11-25","22","240","Действующий"
"АвтоматикаПлюс","Промышленная автоматизация","Федоров Б.М.","2024-02-15","14","170","Новый резидент"
"ИнфоБезопасность","Кибербезопасность","Харитонова С.В.","2023-12-15","28","250","Действующий"
"ЭнергоСеть","Умные электросети","Цветков А.Д.","2024-01-10","19","210","Новый резидент"
"БиоАналитика","Биоинформатика","Чернова Е.М.","2023-10-30","24","230","Действующий"
"АйТиЛаб","Облачные технологии","Шевченко П.А.","2023-08-15","38","290","Действующий"
